Osoba,Ene,Ene+ZCR,Spectrum
p2101,92.50,85.00,87.50
p2102,90.00,85.00,87.50
p2103,72.50,70.00,92.50
p2104,55.00,67.50,60.00
p2105,72.50,65.00,72.50
p2106,82.50,80.00,80.00
p2109,47.50,60.00,77.50
p2110,72.50,85.00,90.00
p2111,30.00,50.00,65.00
p2112,22.50,20.00,37.50
p2201,30.00,25.00,27.50
p2202,65.00,72.50,65.00
p2203,54.10,52.46,52.46
p2204,77.50,80.00,85.00
p2206,57.50,72.50,80.00
p2207,52.50,77.50,57.50
p2301,77.50,87.50,85.00
p2303,75.00,67.50,87.50
p2304,55.00,62.50,77.50
p2305,75.00,72.50,62.50
p2306,80.00,97.50,85.00
p2307,85.00,95.00,95.00
p2308,67.50,72.50,82.50
PRUMER,64.74,69.67,73.59
